Site	PFT	z_km	Year	Tg_degC	Dg_kPa	ca_Pa	SPEI	teta	alpha	cicaobs	cicasimu	
1	ENF	3.2	1953	19.16651541	2.020757177	21.69032883	0.277319908	NA	0.703114755	0.537729193	0.617884556	
1	ENF	3.2	1958	19.97967525	2.126223005	21.87616957	-0.196939652	NA	0.746059086	0.530790386	0.629153644	
1	ENF	3.2	1963	18.87422309	1.989607059	22.14760444	0.477346939	NA	0.690900773	0.545313502	0.617355512	
1	ENF	3.2	1968	19.34148495	2.039094122	22.45196124	0.080391017	NA	0.617868759	0.547519885	0.625465416	
1	ENF	3.2	1973	19.40396654	2.057565456	22.84380504	0.047539935	NA	0.566746638	0.539640315	0.626570234	
1	ENF	3.2	1978	19.20666646	2.011071733	23.29357317	0.418933143	0.119124167	0.625154339	0.545416833	0.621958266	
1	ENF	3.2	1983	19.87467783	2.078613156	23.80269757	0.249846284	0.133277276	0.664514724	0.554495322	0.628831282	
1	ENF	3.2	1988	20.39383921	2.133370973	24.35916842	0.163690958	0.171258581	0.623799042	0.544831966	0.625446308	
1	ENF	3.2	1993	19.55872971	2.066449404	24.82782893	-0.099013457	0.171510036	0.618567369	0.545964754	0.61784889	
1	ENF	3.2	1998	19.31289445	1.972145312	25.41224573	0.359591682	0.151886421	0.671482881	0.557041365	0.62213744	
1	ENF	3.2	2003	20.00448722	2.081059775	26.0483048	0.040790237	0.14895607	0.556918558	0.542965757	0.626850502	
1	ENF	3.2	2008	20.03497045	2.086372081	26.75508329	-0.298759601	0.152111218	0.624510082	NA	0.625140791	
1	ENF	3.2	2013	20.35763547	2.115181918	27.41867258	-0.17473133	0.136729882	0.639101757	NA	0.624136695	
2	ENF	0.4	1953	10.85192869	0.474051369	30.29258503	-0.068522448	NA	1.26	0.678663203	0.679080927	
2	ENF	0.4	1958	11.26641464	0.517134357	30.5521291	0.029268011	NA	1.26	0.681755703	0.674927587	
2	ENF	0.4	1963	10.02495248	0.425931053	30.93121344	0.159931106	NA	1.26	0.68254759	0.678542052	
2	ENF	0.4	1968	10.79408744	0.490936173	31.35627635	-0.095449068	NA	1.26	0.664882786	0.674054232	
2	ENF	0.4	1973	10.83423799	0.465594822	31.90352308	0.080294946	NA	1.26	0.663172235	0.680098384	
2	ENF	0.4	1978	11.18254295	0.559393922	32.53166659	-0.088316976	0.355818748	1.26	0.637798082	0.664262301	
2	ENF	0.4	1983	10.21882439	0.444974331	33.24270672	0.700450073	0.353886119	1.26	0.662180528	0.676924112	
2	ENF	0.4	1988	10.49253489	0.468673813	34.01987062	0.107620178	0.399267149	1.26	0.651606205	0.672433062	
2	ENF	0.4	1993	10.56795851	0.498338446	34.67439913	-0.161814532	0.371746537	1.26	0.642385114	0.666771689	
2	ENF	0.4	1998	11.45552321	0.50742418	35.49059217	0.142363797	0.339854744	1.26	0.633883017	0.676342902	
2	ENF	0.4	2003	12.21392603	0.480256292	36.3789085	0.87849906	0.342230439	1.26	0.61453518	0.691602731	
2	ENF	0.4	2008	11.37342678	0.476976685	37.36599116	-0.340164301	0.338259578	1.26	0.617789984	0.681476869	
2	ENF	0.4	2013	11.75904646	0.514363493	38.29275605	0.219031995	0.332675268	1.26	NA	0.677562113	
3	ENF	2.9	1953	15.20887209	1.575466008	22.50390056	-0.139139832	NA	0.56330892	0.434982405	0.595558066	
3	ENF	2.9	1958	15.40368177	1.595391678	22.6967119	-0.268938066	NA	0.586882326	0.451938928	0.596135608	
3	ENF	2.9	1963	15.40020867	1.612947165	22.97832788	-0.337166906	NA	0.606243983	0.416947317	0.596132633	
3	ENF	2.9	1968	15.64046865	1.599634331	23.29410065	-0.231392608	NA	0.534542907	0.410598843	0.599578309	
3	ENF	2.9	1973	15.35790816	1.574444532	23.70064192	0.350654552	NA	0.547799477	0.432772158	0.59507931	
3	ENF	2.9	1978	15.79435519	1.610740287	24.16728018	-0.156305571	0.242975004	0.545146472	0.431349681	0.599790631	
3	ENF	2.9	1983	15.43709376	1.52471295	24.69550108	-0.032593441	0.163500001	0.541537451	0.442733406	0.600292322	
3	ENF	2.9	1988	15.11289938	1.501782677	25.27284431	0.135463071	NA	0.542000212	0.448138246	0.596951916	
3	ENF	2.9	1993	15.20099143	1.484116341	25.75908358	0.495638962	0.28670001	0.548756421	0.452920695	0.600267531	
3	ENF	2.9	1998	15.10917139	1.534031076	26.36542098	0.438626491	0.188559332	0.544780943	0.449128263	0.59420214	
3	ENF	2.9	2003	15.15110244	1.515423882	27.02533767	0.108256802	0.199965666	0.547549364	NA	0.593014731	
3	ENF	2.9	2008	15.31339287	1.559813889	27.75862636	0.80145437	0.209552519	0.562226158	NA	0.592823021	
3	ENF	2.9	2013	15.69978906	1.621184091	28.44710589	-0.005109465	0.186128568	0.512293617	NA	0.589295504	
4	ENF	3.9	1953	14.31543329	1.584867958	19.88431733	-0.031072999	NA	0.520398725	0.428356915	0.572967055	
4	ENF	3.9	1958	14.53979593	1.611915537	20.05468432	-0.239982514	NA	0.535622536	0.425374005	0.573911425	
4	ENF	3.9	1963	14.54401133	1.621018049	20.30351859	0.042169972	NA	0.545142776	0.429623376	0.573968253	
4	ENF	3.9	1968	14.79457889	1.616424297	20.5825336	-0.553774234	NA	0.508668574	0.422773602	0.577744929	
4	ENF	3.9	1973	14.49892563	1.589775047	20.94175113	0.374156588	NA	0.516740259	0.421387209	0.572862787	
4	ENF	3.9	1978	14.94333558	1.630406223	21.35407001	-0.038124658	NA	0.511099734	0.405777957	0.577844995	
4	ENF	3.9	1983	14.60970091	1.553194635	21.82080296	-0.445276383	NA	0.510016043	0.436826534	0.577842203	
4	ENF	3.9	1988	14.27712894	1.525181859	22.33094013	0.42103575	NA	0.51310535	0.449299765	0.574447534	
4	ENF	3.9	1993	14.35848106	1.519666835	22.76057836	-0.09919448	0.273812495	0.518133641	0.450500491	0.577535415	
4	ENF	3.9	1998	14.27711231	1.557807964	23.2963346	0.532655828	0.235327142	0.512643036	0.46866185	0.57246675	
4	ENF	3.9	2003	14.40813452	1.556785151	23.8794332	0.278927995	0.267817922	0.515124007	NA	0.569810604	
4	ENF	3.9	2008	14.62346964	1.600886837	24.52736288	0.568881923	0.251199125	0.526684449	NA	0.571545315	
4	ENF	3.9	2013	14.93329064	1.64144933	25.13569944	0.375354003	0.246838657	0.482715232	NA	0.570964193	
5	ENF	0.155	1953	12.97174162	0.462823979	31.16032543	0.556546859	NA	1.26	0.723637265	0.711412495	
5	ENF	0.155	1958	13.08703428	0.488073564	31.42730422	-0.229753468	NA	1.26	0.70202013	0.706265513	
5	ENF	0.155	1963	11.97574343	0.377420082	31.81724754	0.357765238	NA	1.26	0.728010454	0.717905052	
5	ENF	0.155	1968	13.06797478	0.489571183	32.25448651	-0.198344989	NA	1.26	0.719770638	0.705604789	
5	ENF	0.155	1973	12.60632864	0.458906529	32.81740929	0.136073337	NA	1.26	0.717653082	0.704930787	
5	ENF	0.155	1978	12.47526807	0.496646888	33.46354617	-0.637046128	0.338335358	1.26	0.728492127	0.695103878	
5	ENF	0.155	1983	11.85009548	0.423523344	34.19495426	0.150550193	0.368652079	1.26	0.731926785	0.702853155	
5	ENF	0.155	1988	12.01080101	0.433248562	34.99438026	0.483095265	0.386579913	1.26	0.732552958	0.702928556	
5	ENF	0.155	1993	12.45809468	0.459337573	35.66765793	0.166737092	0.355773634	1.26	0.724600656	0.702853839	
5	ENF	0.155	1998	13.16185638	0.51586067	36.50723108	0.076740643	0.351379225	1.26	0.7220169	0.698999695	
5	ENF	0.155	2003	13.54585872	0.480775437	37.42099351	1.153951476	0.333182007	1.26	0.727078575	0.708811245	
5	ENF	0.155	2008	13.17432772	0.480034857	38.43635145	0.491324858	0.353144801	1.26	NA	0.705014355	
5	ENF	0.155	2013	13.85409033	0.540716976	39.3896638	-0.404975941	0.336541941	1.26	NA	0.699656492	
6	ENF	0.2	1953	16.26043214	0.661924461	30.99945412	-0.083773406	NA	1.161395805	0.698577998	0.718956712	
6	ENF	0.2	1958	16.32331595	0.682558963	31.26505457	-0.052302485	NA	1.132015231	0.703598367	0.715533339	
6	ENF	0.2	1963	15.51468399	0.610010424	31.65298474	0.049398137	NA	1.186782821	0.708695173	0.718393886	
6	ENF	0.2	1968	16.54105128	0.719753491	32.08796637	-0.132575701	NA	1.233745553	0.710709605	0.710188965	
6	ENF	0.2	1973	17.06441509	0.765141244	32.64798295	-0.260892659	NA	1.185568822	0.687097409	0.714318912	
6	ENF	0.2	1978	15.64574018	0.643909338	33.29078402	-0.171836902	0.335512598	1.196033771	0.695979878	0.71273778	
6	ENF	0.2	1983	15.74796966	0.612814071	34.01841608	0.178844328	0.353312882	1.178711907	0.703688749	0.715553278	
6	ENF	0.2	1988	16.27159983	0.62640367	34.81371488	0.360581934	0.336881948	1.163884543	0.71012032	0.722348763	
6	ENF	0.2	1993	15.94452316	0.65036236	35.48351663	-0.015475382	0.344534006	1.178870056	0.712912125	0.714246246	
6	ENF	0.2	1998	16.87319138	0.73816694	36.31875531	0.255997391	0.361481106	1.195145439	0.714452336	0.713592798	
6	ENF	0.2	2003	17.18669921	0.730015954	37.22780026	-0.065924901	0.321459808	1.184202798	0.710984518	0.71620573	
6	ENF	0.2	2008	16.85797003	0.690591856	38.23791622	0.297138241	0.357315097	1.185172983	NA	0.718822192	
6	ENF	0.2	2013	17.57369582	0.735003898	39.18630691	0.402617807	0.327203986	1.184330307	NA	0.718529683	
7	ENF	1.4	1953	13.90183786	0.661921097	26.95116037	0.105924834	NA	0.979722511	0.678413122	0.676595384	
7	ENF	1.4	1958	13.6777972	0.645026063	27.18207542	0.642882561	NA	1.026548598	0.674330861	0.6770804	
7	ENF	1.4	1963	13.87615495	0.680231638	27.51934485	-0.233462815	NA	1.050052085	0.669502777	0.673936493	
7	ENF	1.4	1968	13.42205889	0.560469713	27.89752118	-0.195304543	NA	1.183829067	0.653116166	0.690011148	
7	ENF	1.4	1973	13.74171875	0.623433248	28.38440384	-0.096700217	NA	1.207761886	0.664812751	0.682180025	
7	ENF	1.4	1978	13.01534228	0.590440127	28.94325996	0.316745814	0.392518342	1.153213472	0.641313947	0.675485279	
7	ENF	1.4	1983	14.28775736	0.653751206	29.57586878	-0.364125597	0.350692505	1.099674788	0.631782934	0.68282392	
7	ENF	1.4	1988	14.12245241	0.67771135	30.26730759	-0.020184356	0.349352782	1.089687085	0.638702234	0.676674538	
7	ENF	1.4	1993	14.93413977	0.737144176	30.84963831	-0.518122663	0.328530547	1.178861979	0.637727849	0.680079583	
7	ENF	1.4	1998	14.33748049	0.68781222	31.57580115	0.267926986	0.363474224	1.026864032	0.672798469	0.677181704	
7	ENF	1.4	2003	15.40719329	0.750399204	32.36613172	-0.100549998	0.379809388	1.021049093	0.661209359	0.678330194	
7	ENF	1.4	2008	15.06778233	0.758735462	33.24433419	0.256163507	0.358269668	1.034387601	NA	0.6763779	
7	ENF	1.4	2013	15.06302239	0.786682656	34.06887224	-0.051448469	0.362633953	1.110078412	NA	0.66635641	
8	ENF	0.95	1953	16.74914616	1.263659563	28.39476024	0.027673482	NA	1.26	0.613187468	0.650266847	
8	ENF	0.95	1958	16.96197123	1.308920508	28.63701363	-0.003528627	NA	1.244505655	0.621191795	0.648047318	
8	ENF	0.95	1963	15.96991558	1.18800208	28.96891622	0.063578226	NA	1.259572819	0.615154343	0.643558105	
8	ENF	0.95	1968	15.32021538	1.177847082	29.39759765	0.110240237	NA	1.258372746	0.620383995	0.635979716	
8	ENF	0.95	1973	15.31109009	1.166156037	29.90125597	0.073261385	NA	1.255563778	0.615611834	0.636199337	
8	ENF	0.95	1978	16.54421454	1.252365689	30.50633582	-0.242028577	0.286628958	1.26	0.605966618	0.645231893	
8	ENF	0.95	1983	15.96622415	1.204757002	31.17404769	0.014028698	0.309950417	1.26	0.611743787	0.641141964	
8	ENF	0.95	1988	16.30488741	1.23107692	31.93476964	-0.127896981	0.353254169	1.26	0.611832348	0.642361169	
8	ENF	0.95	1993	15.91159459	1.193531576	32.5386392	-0.067082678	0.296229896	1.259933681	0.607941051	0.638577612	
8	ENF	0.95	1998	15.9208983	1.1879693	33.32604784	-0.083267177	0.299064677	1.26	0.596290202	0.641613326	
8	ENF	0.95	2003	16.70703142	1.302667446	34.18692051	-0.153523606	0.299644628	1.26	0.604458388	0.641733469	
8	ENF	0.95	2008	16.64574231	1.28644099	35.10110606	-0.147988007	0.292520717	1.26	0.581664958	0.640088132	
8	ENF	0.95	2013	16.65868888	1.315060601	35.98179708	-0.125561762	0.320985623	1.26	0.589182054	0.639175953	
9	ENF	1.06	1953	16.75032143	1.272197879	28.03121295	0.027673482	NA	1.26	0.593663205	0.648853793	
9	ENF	1.06	1958	16.96316509	1.317192473	28.2703647	-0.003528627	NA	1.24336318	0.595013827	0.646672783	
9	ENF	1.06	1963	15.97102739	1.196337141	28.59801783	0.063578226	NA	1.25930746	0.582725705	0.64197909	
9	ENF	1.06	1968	15.32130473	1.185319649	29.02121072	0.110240237	NA	1.25811862	0.598188979	0.634454186	
9	ENF	1.06	1973	15.31220393	1.17379886	29.51842054	0.073261385	NA	1.254848635	0.597837028	0.63465934	
9	ENF	1.06	1978	16.54534135	1.260701048	30.11575335	-0.242028577	0.286628958	1.26	0.58555124	0.643718598	
9	ENF	1.06	1983	15.96736252	1.212850657	30.77491629	0.014028698	0.309950417	1.26	0.583717299	0.639639273	
9	ENF	1.06	1988	16.30603334	1.239348813	31.52589847	-0.127896981	0.353254169	1.26	0.5810614	0.640793452	
9	ENF	1.06	1993	15.9127132	1.201652876	32.1220365	-0.067082678	0.296229896	1.259867964	0.58070288	0.637031129	
9	ENF	1.06	1998	15.92196962	1.196207929	32.89936369	-0.083267177	0.299064677	1.26	0.58285238	0.64002205	
9	ENF	1.06	2003	16.70821245	1.310760478	33.74921433	-0.153523606	0.299644628	1.26	0.579695355	0.640331803	
9	ENF	1.06	2008	16.64690398	1.294558191	34.65169526	-0.147988007	0.292520717	1.26	0.585908659	0.638600228	
9	ENF	1.06	2013	16.65981709	1.322890044	35.52111051	-0.125561762	0.320985623	1.26	0.580783314	0.637681606	
10	ENF	0.07	1953	20.77273827	0.991746122	31.46603778	-0.093740254	NA	0.809700246	NA	0.732033283	
10	ENF	0.07	1958	20.40834363	0.935706878	31.73563588	0.388854493	NA	0.81279771	0.682780569	0.7329577	
10	ENF	0.07	1963	20.16003295	0.944260232	32.12940492	-0.3515438	NA	0.868723281	0.658893415	0.728654939	
